task_id,asset_id,asset_type,department,corridor_id,section_id,maintenance_type,defect_description,last_maintenance_date,maintenance_interval_days,next_due_date,overdue_days,condition_score,asset_age_years,failure_count_12m,safety_criticality,operational_criticality,estimated_duration_minutes,duration_buffer_minutes,required_team,required_block_type,required_resources,status
T0107,S&T_066,Relay,S&T,CORR_01,SEC_F_G,Inspection,Safety-related defect,2024-08-27,365,2026-10-17,0,7.83,2.6,2,6,8,120,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0108,ENG_064,Points,Engineering,CORR_01,SEC_D_E,Corrective,Condition deterioration detected,2026-06-24,120,2027-01-05,0,4.3,6.8,3,10,10,60,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0109,TRD_053,OHE,TRD,CORR_01,SEC_A_B,Preventive,Routine preventive maintenance,2026-02-14,365,2027-02-14,0,7.45,22.0,0,6,10,120,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0110,ENG_003,Drainage,Engineering,CORR_01,SEC_E_F,Corrective,Operational reliability issue,2026-05-14,90,2026-08-12,32,8.14,7.5,1,4,4,60,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0111,S&T_039,Point Machine,S&T,CORR_01,SEC_D_E,Corrective,Safety-related defect,2023-09-23,365,2026-10-05,0,9.44,19.8,0,4,9,150,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0112,TRD_030,OHE,TRD,CORR_01,SEC_A_B,Preventive,Condition deterioration detected,2025-03-06,30,2025-04-05,526,5.83,32.6,0,4,7,30,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0113,S&T_073,Point Machine,S&T,CORR_01,SEC_D_E,Inspection,Abnormal wear detected,2023-11-03,90,2024-02-01,955,4.82,15.9,1,4,8,30,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0114,S&T_046,Telecom,S&T,CORR_01,SEC_D_E,Corrective,Safety-related defect,2024-04-11,120,2024-08-09,765,7.26,3.8,3,4,7,75,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0115,ENG_040,Track,Engineering,CORR_01,SEC_A_B,Preventive,Operational reliability issue,2025-05-25,180,2026-11-29,0,3.43,1.9,1,9,10,150,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0116,S&T_074,Signal,S&T,CORR_01,SEC_D_E,Corrective,Inspection overdue,2024-12-17,120,2025-04-16,515,3.47,6.7,2,7,10,60,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0117,TRD_059,Electrical Equipment,TRD,CORR_01,SEC_D_E,Preventive,Operational reliability issue,2024-03-05,90,2024-06-03,832,4.83,15.6,4,9,8,180,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0118,S&T_074,Relay,S&T,CORR_01,SEC_H_I,Inspection,Abnormal wear detected,2026-07-01,30,2026-07-31,44,8.22,24.2,3,8,4,75,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0119,TRD_064,OHE,TRD,CORR_01,SEC_G_H,Preventive,Safety-related defect,2026-05-30,180,2026-11-26,0,7.11,20.8,3,9,4,180,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0120,TRD_032,OHE,TRD,CORR_01,SEC_B_C,Corrective,Component replacement required,2024-11-11,60,2025-01-10,611,6.79,1.4,4,9,8,150,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0121,TRD_004,Contact Wire,TRD,CORR_01,SEC_F_G,Corrective,Component replacement required,2026-05-03,120,2026-08-31,13,3.31,27.7,1,8,7,120,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0122,S&T_006,Signal,S&T,CORR_01,SEC_E_F,Inspection,Repeated minor failure,2024-04-23,90,2024-07-22,783,1.53,6.9,4,10,8,300,60,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0123,ENG_004,Points,Engineering,CORR_01,SEC_G_H,Corrective,Component replacement required,2023-10-07,180,2027-01-03,0,6.65,26.6,3,3,6,75,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0124,ENG_068,Drainage,Engineering,CORR_01,SEC_H_I,Emergency,Abnormal wear detected,2025-01-30,180,2025-07-29,411,6.78,22.0,4,4,8,120,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0125,ENG_019,Bridge,Engineering,CORR_01,SEC_F_G,Corrective,Safety-related defect,2024-03-14,60,2024-05-13,853,6.52,17.6,3,5,10,60,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0126,ENG_025,Points,Engineering,CORR_01,SEC_C_D,Inspection,Inspection overdue,2026-08-01,30,2026-08-31,13,7.07,6.7,3,10,9,180,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0127,TRD_059,Mast,TRD,CORR_01,SEC_C_D,Corrective,Inspection overdue,2025-11-20,180,2026-11-07,0,6.35,26.8,0,4,7,120,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0128,S&T_034,Signal,S&T,CORR_01,SEC_H_I,Preventive,Abnormal wear detected,2024-03-12,60,2024-05-11,855,8.56,6.6,0,6,6,120,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0129,TRD_038,Contact Wire,TRD,CORR_01,SEC_F_G,Preventive,Inspection overdue,2024-02-15,365,2025-02-14,576,9.4,30.5,0,5,9,30,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0130,TRD_019,Electrical Equipment,TRD,CORR_01,SEC_H_I,Corrective,Safety-related defect,2026-02-24,90,2026-05-25,111,5.13,16.5,0,4,9,90,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,In Progress
T0131,ENG_055,Points,Engineering,CORR_01,SEC_D_E,Inspection,Operational reliability issue,2025-12-28,30,2027-01-01,0,8.3,2.6,2,5,10,120,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0132,ENG_021,Bridge,Engineering,CORR_01,SEC_E_F,Inspection,Condition deterioration detected,2025-02-15,365,2026-02-15,210,7.08,14.5,2,4,8,60,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0133,ENG_010,Bridge,Engineering,CORR_01,SEC_H_I,Preventive,Abnormal wear detected,2024-09-11,120,2026-12-26,0,5.62,17.2,0,8,4,150,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0134,ENG_019,Points,Engineering,CORR_01,SEC_C_D,Preventive,Operational reliability issue,2025-11-23,60,2026-09-26,0,7.05,21.9,3,8,6,60,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0135,S&T_018,Telecom,S&T,CORR_01,SEC_F_G,Preventive,Inspection overdue,2026-04-09,60,2026-06-08,97,6.37,18.6,4,7,3,90,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0136,S&T_031,Telecom,S&T,CORR_01,SEC_B_C,Corrective,Condition deterioration detected,2026-08-08,120,2026-12-06,0,8.72,30.3,0,8,8,60,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,In Progress
T0137,ENG_034,Track,Engineering,CORR_01,SEC_A_B,Preventive,Inspection overdue,2026-06-06,180,2026-09-24,0,6.05,22.8,4,9,9,150,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0138,ENG_076,Drainage,Engineering,CORR_01,SEC_G_H,Corrective,Repeated minor failure,2025-11-06,30,2025-12-06,281,7.0,3.9,2,9,6,30,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0139,ENG_002,Track,Engineering,CORR_01,SEC_C_D,Preventive,Abnormal wear detected,2024-01-28,30,2024-02-27,929,6.12,25.9,2,5,8,60,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0140,TRD_059,OHE,TRD,CORR_01,SEC_H_I,Corrective,Routine preventive maintenance,2024-01-23,60,2024-03-23,904,2.2,23.9,6,8,9,240,60,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Deferred
T0141,ENG_047,Track,Engineering,CORR_01,SEC_H_I,Preventive,Routine preventive maintenance,2025-03-17,90,2025-06-15,455,6.37,32.1,3,6,8,75,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0142,ENG_052,Bridge,Engineering,CORR_01,SEC_A_B,Preventive,Component replacement required,2025-01-18,180,2025-07-17,423,7.91,13.5,2,8,4,180,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0143,ENG_001,Bridge,Engineering,CORR_01,SEC_C_D,Inspection,Inspection overdue,2025-07-10,365,2026-07-10,65,1.54,26.8,10,10,8,360,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0144,S&T_019,Telecom,S&T,CORR_01,SEC_A_B,Corrective,Routine preventive maintenance,2023-11-21,180,2026-10-01,0,1.19,34.1,10,10,9,360,45,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0145,S&T_038,Point Machine,S&T,CORR_01,SEC_D_E,Preventive,Component replacement required,2024-07-20,60,2024-09-18,725,7.41,3.5,2,8,10,90,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0146,S&T_016,Relay,S&T,CORR_01,SEC_G_H,Corrective,Safety-related defect,2025-02-13,365,2026-02-13,212,5.66,28.5,3,7,4,45,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0147,ENG_046,Track,Engineering,CORR_01,SEC_D_E,Preventive,Inspection overdue,2024-10-24,30,2024-11-23,659,1.28,26.4,5,8,9,420,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0148,ENG_048,Bridge,Engineering,CORR_01,SEC_G_H,Corrective,Component replacement required,2025-11-25,60,2026-12-31,0,6.58,31.7,2,4,3,45,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0149,ENG_051,Bridge,Engineering,CORR_01,SEC_G_H,Corrective,Operational reliability issue,2023-08-10,180,2024-02-06,950,3.71,31.0,1,5,7,90,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0150,TRD_012,Electrical Equipment,TRD,CORR_01,SEC_A_B,Preventive,Safety-related defect,2025-06-05,120,2025-10-03,345,2.43,34.6,10,10,8,480,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Deferred
T0151,S&T_004,Relay,S&T,CORR_01,SEC_C_D,Preventive,Operational reliability issue,2024-10-06,90,2025-01-04,617,2.91,9.4,3,8,6,60,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0152,S&T_031,Point Machine,S&T,CORR_01,SEC_C_D,Corrective,Inspection overdue,2026-03-05,180,2026-09-01,12,5.01,29.4,4,3,8,60,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0153,TRD_068,Contact Wire,TRD,CORR_01,SEC_A_B,Corrective,Operational reliability issue,2024-03-17,30,2024-04-16,880,3.91,1.7,1,8,5,120,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0154,TRD_039,OHE,TRD,CORR_01,SEC_F_G,Preventive,Routine preventive maintenance,2024-05-25,120,2024-09-22,721,8.04,23.6,3,8,5,120,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0155,TRD_024,Electrical Equipment,TRD,CORR_01,SEC_A_B,Corrective,Condition deterioration detected,2024-09-30,90,2024-12-29,623,4.05,26.3,4,4,10,60,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Deferred
T0156,TRD_002,Mast,TRD,CORR_01,SEC_H_I,Preventive,Condition deterioration detected,2024-05-06,120,2024-09-03,740,4.95,25.9,0,3,3,150,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0157,S&T_058,Point Machine,S&T,CORR_01,SEC_C_D,Preventive,Component replacement required,2024-04-25,365,2027-01-06,0,2.64,31.2,2,4,4,120,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0158,TRD_022,OHE,TRD,CORR_01,SEC_G_H,Corrective,Routine preventive maintenance,2023-12-14,30,2024-01-13,974,3.21,11.1,1,6,9,90,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0159,S&T_077,Signal,S&T,CORR_01,SEC_E_F,Corrective,Operational reliability issue,2026-01-20,120,2026-05-20,116,1.01,27.7,6,8,9,240,45,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0160,ENG_048,Drainage,Engineering,CORR_01,SEC_G_H,Preventive,Routine preventive maintenance,2023-12-16,30,2024-01-15,972,1.9,26.6,5,9,10,240,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0161,S&T_074,Telecom,S&T,CORR_01,SEC_H_I,Inspection,Operational reliability issue,2024-05-08,60,2024-07-07,798,5.26,33.3,0,5,4,180,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0162,ENG_041,Bridge,Engineering,CORR_01,SEC_E_F,Inspection,Repeated minor failure,2023-06-26,365,2024-06-25,810,3.11,32.2,4,9,8,90,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0163,TRD_073,OHE,TRD,CORR_01,SEC_B_C,Inspection,Safety-related defect,2024-12-16,120,2026-11-30,0,8.66,2.3,3,7,9,180,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0164,TRD_061,Contact Wire,TRD,CORR_01,SEC_A_B,Inspection,Operational reliability issue,2024-09-09,60,2024-11-08,674,4.87,34.1,2,7,7,180,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0165,TRD_057,OHE,TRD,CORR_01,SEC_D_E,Preventive,Inspection overdue,2025-09-04,60,2025-11-03,314,7.82,25.1,2,3,5,45,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0166,ENG_059,Bridge,Engineering,CORR_01,SEC_A_B,Preventive,Safety-related defect,2025-11-30,60,2026-01-29,227,4.42,13.7,3,9,4,30,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0167,ENG_037,Drainage,Engineering,CORR_01,SEC_B_C,Preventive,Repeated minor failure,2025-09-16,180,2026-12-22,0,2.22,8.0,5,8,10,300,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Deferred
T0168,TRD_033,OHE,TRD,CORR_01,SEC_D_E,Corrective,Safety-related defect,2025-02-08,365,2026-02-08,217,7.0,8.4,3,9,8,180,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0169,TRD_014,Mast,TRD,CORR_01,SEC_E_F,Corrective,Repeated minor failure,2024-10-05,30,2024-11-04,678,6.98,18.6,2,7,7,75,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0170,TRD_038,OHE,TRD,CORR_01,SEC_H_I,Preventive,Repeated minor failure,2025-06-04,180,2025-12-01,286,7.66,31.8,4,6,8,75,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Deferred
T0171,S&T_017,Signal,S&T,CORR_01,SEC_H_I,Corrective,Abnormal wear detected,2025-02-18,120,2025-06-18,452,7.84,8.6,1,8,4,75,20,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0172,S&T_007,Signal,S&T,CORR_01,SEC_H_I,Inspection,Component replacement required,2024-04-04,60,2024-06-03,832,3.0,2.8,1,4,9,90,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,In Progress
T0173,ENG_011,Drainage,Engineering,CORR_01,SEC_C_D,Corrective,Operational reliability issue,2024-05-11,180,2024-11-07,675,4.69,26.9,0,3,10,90,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0174,TRD_055,Electrical Equipment,TRD,CORR_01,SEC_G_H,Emergency,Operational reliability issue,2024-10-22,60,2024-12-21,631,6.24,24.0,2,3,8,75,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0175,TRD_009,Mast,TRD,CORR_01,SEC_C_D,Inspection,Inspection overdue,2026-02-28,90,2026-05-29,107,5.69,34.9,4,8,9,60,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0176,TRD_003,Contact Wire,TRD,CORR_01,SEC_D_E,Corrective,Abnormal wear detected,2023-07-11,30,2023-08-10,1130,7.48,23.5,0,9,7,30,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0177,S&T_002,Point Machine,S&T,CORR_01,SEC_D_E,Preventive,Safety-related defect,2024-01-04,120,2026-10-09,0,6.14,10.6,4,5,9,45,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,In Progress
T0178,TRD_021,Electrical Equipment,TRD,CORR_01,SEC_E_F,Preventive,Condition deterioration detected,2024-01-13,180,2024-07-11,794,7.32,23.8,3,8,6,30,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0179,TRD_030,OHE,TRD,CORR_01,SEC_E_F,Corrective,Repeated minor failure,2025-03-02,120,2025-06-30,440,5.75,28.3,0,5,3,90,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0180,TRD_046,Contact Wire,TRD,CORR_01,SEC_F_G,Inspection,Repeated minor failure,2025-12-21,90,2026-03-21,176,8.65,14.6,0,8,8,60,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0181,ENG_021,Bridge,Engineering,CORR_01,SEC_A_B,Preventive,Condition deterioration detected,2024-02-23,120,2024-06-22,813,8.12,30.3,3,5,9,120,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0182,S&T_068,Relay,S&T,CORR_01,SEC_A_B,Inspection,Repeated minor failure,2025-07-28,60,2025-09-26,352,4.07,12.8,2,4,9,75,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0183,TRD_022,Electrical Equipment,TRD,CORR_01,SEC_H_I,Preventive,Component replacement required,2023-11-09,120,2024-03-08,919,4.82,28.8,2,3,6,150,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Deferred
T0184,S&T_003,Signal,S&T,CORR_01,SEC_H_I,Preventive,Component replacement required,2023-09-20,60,2023-11-19,1029,6.34,13.4,0,7,6,180,20,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0185,TRD_015,Mast,TRD,CORR_01,SEC_H_I,Preventive,Operational reliability issue,2025-09-16,30,2025-10-16,332,4.89,17.7,2,8,4,30,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0186,ENG_044,Points,Engineering,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2023-06-09,180,2023-12-06,1012,8.36,33.8,4,4,10,180,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0187,TRD_014,Contact Wire,TRD,CORR_01,SEC_C_D,Preventive,Abnormal wear detected,2025-01-23,120,2025-05-23,478,6.03,33.8,3,9,6,90,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0188,TRD_026,Mast,TRD,CORR_01,SEC_D_E,Preventive,Condition deterioration detected,2026-08-12,365,2027-08-12,0,4.92,20.1,1,5,8,45,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0189,ENG_007,Points,Engineering,CORR_01,SEC_C_D,Corrective,Inspection overdue,2023-08-06,90,2023-11-04,1044,9.38,26.6,2,5,3,90,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Deferred
T0190,TRD_066,Electrical Equipment,TRD,CORR_01,SEC_D_E,Inspection,Component replacement required,2023-09-19,30,2023-10-19,1060,7.35,33.8,0,9,9,150,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Deferred
T0191,ENG_025,Drainage,Engineering,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2024-11-23,60,2026-12-31,0,3.02,10.5,1,4,9,30,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0192,ENG_077,Bridge,Engineering,CORR_01,SEC_F_G,Preventive,Operational reliability issue,2024-06-11,180,2026-11-17,0,8.4,18.9,2,10,8,45,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0193,ENG_028,Drainage,Engineering,CORR_01,SEC_D_E,Corrective,Condition deterioration detected,2024-10-12,30,2024-11-11,671,4.03,16.2,4,10,3,45,20,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Deferred
T0194,S&T_004,Relay,S&T,CORR_01,SEC_E_F,Inspection,Routine preventive maintenance,2024-06-29,90,2024-09-27,716,6.1,31.5,4,10,10,30,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,In Progress
T0195,TRD_028,OHE,TRD,CORR_01,SEC_D_E,Inspection,Inspection overdue,2023-08-17,30,2026-10-06,0,3.94,25.4,3,4,5,30,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0196,S&T_058,Telecom,S&T,CORR_01,SEC_G_H,Corrective,Component replacement required,2026-03-26,30,2026-04-25,141,5.23,13.2,0,3,4,30,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0197,S&T_061,Telecom,S&T,CORR_01,SEC_A_B,Preventive,Operational reliability issue,2023-06-23,180,2023-12-20,998,8.08,33.6,4,7,5,90,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0198,TRD_027,OHE,TRD,CORR_01,SEC_E_F,Corrective,Condition deterioration detected,2024-10-30,60,2026-12-08,0,3.98,22.0,4,5,5,60,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0199,S&T_013,Signal,S&T,CORR_01,SEC_E_F,Preventive,Safety-related defect,2025-12-09,90,2026-03-09,188,5.0,11.8,1,4,7,45,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0200,S&T_001,Telecom,S&T,CORR_01,SEC_C_D,Preventive,Abnormal wear detected,2025-02-15,120,2025-06-15,455,5.55,16.1,2,5,8,180,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0201,ENG_010,Bridge,Engineering,CORR_01,SEC_E_F,Corrective,Abnormal wear detected,2026-06-10,120,2026-10-08,0,6.92,19.5,4,9,6,30,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0202,ENG_051,Points,Engineering,CORR_01,SEC_B_C,Preventive,Safety-related defect,2024-04-22,60,2024-06-21,814,3.04,5.8,10,10,10,300,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0203,ENG_030,Bridge,Engineering,CORR_01,SEC_H_I,Preventive,Repeated minor failure,2023-08-21,365,2024-08-20,754,7.18,31.0,4,8,9,180,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0204,S&T_076,Telecom,S&T,CORR_01,SEC_F_G,Corrective,Abnormal wear detected,2023-06-14,180,2023-12-11,1007,4.26,28.0,1,9,8,120,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0205,ENG_021,Bridge,Engineering,CORR_01,SEC_C_D,Preventive,Repeated minor failure,2024-04-26,365,2025-04-26,505,7.13,17.3,3,8,4,180,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0206,ENG_008,Track,Engineering,CORR_01,SEC_C_D,Preventive,Repeated minor failure,2026-01-21,120,2026-12-29,0,9.21,16.3,4,3,7,45,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0207,TRD_044,Mast,TRD,CORR_01,SEC_C_D,Inspection,Component replacement required,2026-03-29,365,2027-03-29,0,4.11,18.8,3,5,4,30,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0208,TRD_012,OHE,TRD,CORR_01,SEC_B_C,Corrective,Operational reliability issue,2023-08-28,365,2024-08-27,747,2.12,15.3,4,10,10,420,60,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0209,S&T_018,Signal,S&T,CORR_01,SEC_G_H,Preventive,Safety-related defect,2023-06-15,180,2023-12-12,1006,4.48,25.1,4,9,7,75,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0210,S&T_020,Relay,S&T,CORR_01,SEC_B_C,Preventive,Safety-related defect,2026-07-16,120,2026-11-24,0,8.48,15.0,3,8,7,150,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,In Progress
T0211,TRD_016,Electrical Equipment,TRD,CORR_01,SEC_C_D,Corrective,Condition deterioration detected,2023-06-11,30,2023-07-11,1160,9.14,6.5,0,6,9,120,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0212,S&T_011,Point Machine,S&T,CORR_01,SEC_F_G,Corrective,Inspection overdue,2024-07-18,365,2025-07-18,422,6.8,15.9,4,7,3,60,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0213,TRD_047,Contact Wire,TRD,CORR_01,SEC_A_B,Preventive,Safety-related defect,2026-04-26,30,2026-05-26,110,0.76,20.9,6,9,9,420,45,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
